id,postal_code,region,province,type_of_property,price,number_of_bedrooms,surface,kitchen_type,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building,priceperm2
10008584,7080,Wallonia,Hainaut,HOUSE,129000.0,3.0,101.0,1.0,0.0,0,1.0,4.0,,,90.0,2.0,,,1277.2277227722773
9628541,8870,Flanders,West Flanders,APARTMENT,285000.0,2.0,138.0,2.0,0.0,0,1.0,36.0,,,,,0.0,3.0,2065.217391304348
10034305,5650,Wallonia,Namur,HOUSE,127500.0,2.0,80.0,,,0,1.0,19.0,,,0.0,4.0,,2.0,1593.75
10003044,6940,Wallonia,Luxembourg,HOUSE,875000.0,0.0,400.0,1.0,0.0,1,1.0,30.0,,,3602.0,,1.0,3.0,2187.5
10090882,6230,Wallonia,Hainaut,HOUSE,81000.0,3.0,71.0,1.0,0.0,0,,,1.0,225.0,257.0,2.0,,1.0,1140.8450704225352
9988812,6060,Wallonia,Hainaut,APARTMENT,385000.0,9.0,410.0,1.0,0.0,0,,,,,,,,1.5,939.0243902439024
10094938,2440,Flanders,Antwerp,HOUSE,439000.0,3.0,167.0,1.0,0.0,0,,,,,2204.0,4.0,0.0,2.0,2628.74251497006
10076245,5555,Wallonia,Namur,HOUSE,395000.0,11.0,483.0,1.0,1.0,0,1.0,35.0,1.0,984.0,1064.0,,0.0,2.0,817.8053830227743
10045185,2650,Flanders,Antwerp,HOUSE,459000.0,3.0,228.0,1.0,0.0,0,1.0,,,,228.0,2.0,,2.0,2013.157894736842
9668500,7090,Wallonia,Hainaut,APARTMENT,349000.0,2.0,107.0,2.5,0.0,0,1.0,110.0,,,,3.0,0.0,2.0,3261.6822429906542
9902022,9620,Flanders,East Flanders,APARTMENT,149000.0,2.0,70.0,1.0,,0,,,,,,,0.0,3.0,2128.5714285714284
9711112,1370,Wallonia,Walloon Brabant,APARTMENT,185000.0,1.0,55.0,1.0,0.0,0,1.0,4.0,,,,,0.0,2.0,3363.6363636363635
9859206,3500,Flanders,Limburg,APARTMENT,261277.0,1.0,68.0,,,0,1.0,8.0,,,,,,,3842.3088235294117
10107171,2930,Flanders,Antwerp,HOUSE,750000.0,3.0,260.0,2.5,,1,1.0,50.0,1.0,200.0,450.0,3.0,0.0,3.0,2884.6153846153848
10137895,8300,Flanders,West Flanders,HOUSE,435000.0,4.0,176.0,,0.0,0,1.0,,,,612.0,4.0,0.0,1.0,2471.590909090909
10129529,1702,Flanders,Flemish Brabant,HOUSE,490000.0,3.0,160.0,1.5,,0,1.0,112.0,1.0,88.0,212.0,3.0,0.0,3.0,3062.5
9802169,3071,Flanders,Flemish Brabant,HOUSE,585000.0,4.0,165.0,,,0,1.0,,,,345.0,4.0,,3.0,3545.4545454545455
10090115,9420,Flanders,East Flanders,HOUSE,259000.0,2.0,165.0,2.0,,0,1.0,25.0,1.0,200.0,349.0,2.0,,3.0,1569.6969696969697
9952078,9400,Flanders,East Flanders,HOUSE,180000.0,2.0,167.0,,0.0,0,1.0,,,,160.0,2.0,0.0,,1077.8443113772455
9746752,8530,Flanders,West Flanders,APARTMENT,267000.0,2.0,94.0,,,0,1.0,,,,,,0.0,,2840.425531914894
10142387,7910,Wallonia,Hainaut,HOUSE,450000.0,4.0,230.0,0.0,,0,,,1.0,,4454.0,4.0,,1.0,1956.5217391304348
10122962,3680,Flanders,Limburg,APARTMENT,273000.0,2.0,90.0,,0.0,0,1.0,,,,,2.0,0.0,,3033.3333333333335
9077081,8400,Flanders,West Flanders,APARTMENT,1848000.0,3.0,211.0,2.5,,0,1.0,,,,,,0.0,,8758.293838862559
10052017,1700,Flanders,Flemish Brabant,HOUSE,1122393.0,4.0,342.0,,0.0,0,1.0,,,,8152.0,4.0,,3.0,3281.8508771929824
10119803,4040,Wallonia,Liège,APARTMENT,149000.0,3.0,132.0,0.0,0.0,0,,,1.0,307.0,,4.0,0.0,1.0,1128.7878787878788
9887977,5361,Wallonia,Namur,HOUSE,299000.0,4.0,160.0,0.0,1.0,0,,,,,0.0,,0.0,3.0,1868.75
10140626,9420,Flanders,East Flanders,HOUSE,229000.0,3.0,150.0,,,0,1.0,65.0,1.0,420.0,621.0,2.0,,,1526.6666666666667
10103154,2845,Flanders,Antwerp,APARTMENT,281200.0,2.0,116.0,1.0,0.0,0,1.0,9.0,,,,2.0,,,2424.137931034483
10070833,1348,Wallonia,Walloon Brabant,APARTMENT,290000.0,1.0,61.0,1.0,0.0,0,,,,,,2.0,,,4754.098360655737
9729715,4590,Wallonia,Liège,HOUSE,239000.0,3.0,140.0,1.0,0.0,1,1.0,35.0,1.0,,1350.0,,,2.0,1707.142857142857
10151005,2000,Flanders,Antwerp,APARTMENT,349000.0,2.0,92.0,,,0,1.0,8.0,,,,,0.0,,3793.478260869565
10081060,2970,Flanders,Antwerp,HOUSE,1150000.0,5.0,250.0,0.0,,0,,,,,9600.0,4.0,0.0,1.0,4600.0
9956968,1000,Brussels,Brussels,APARTMENT,595000.0,2.0,165.0,2.0,0.0,0,1.0,5.0,,,,3.0,0.0,3.0,3606.060606060606
9877535,1340,Wallonia,Walloon Brabant,APARTMENT,675000.0,3.0,207.0,,0.0,0,1.0,20.0,1.0,,,4.0,,,3260.8695652173915
10133407,1755,Flanders,Flemish Brabant,HOUSE,625000.0,3.0,330.0,,0.0,0,1.0,,1.0,,1150.0,4.0,0.0,3.0,1893.939393939394
10144580,8300,Flanders,West Flanders,APARTMENT,795000.0,2.0,60.0,1.0,0.0,0,1.0,,,,,2.0,0.0,2.0,13250.0
9989031,2890,Flanders,Antwerp,HOUSE,449000.0,3.0,188.0,2.0,0.0,0,1.0,,1.0,847.0,1663.0,4.0,0.0,2.0,2388.2978723404253
9893663,2270,Flanders,Antwerp,HOUSE,315000.0,3.0,139.0,,0.0,0,,,1.0,,3565.0,4.0,,1.0,2266.1870503597124
10087635,7100,Wallonia,Hainaut,HOUSE,295000.0,3.0,152.0,1.0,0.0,0,1.0,,1.0,163.0,241.0,2.0,,,1940.7894736842106
9997155,2580,Flanders,Antwerp,HOUSE,1550000.0,4.0,230.0,1.0,0.0,1,1.0,,1.0,,27956.0,,,,6739.130434782609
10126782,4420,Wallonia,Liège,HOUSE,125000.0,4.0,102.0,1.0,0.0,0,,,,,0.0,,,,1225.4901960784314
9971036,9470,Flanders,East Flanders,APARTMENT,189000.0,1.0,89.0,1.0,0.0,0,1.0,10.0,,,,2.0,,2.0,2123.5955056179773
9926396,9140,Flanders,East Flanders,HOUSE,240000.0,3.0,127.0,,,0,1.0,,,,110.0,,0.0,3.0,1889.763779527559
10085799,1030,Brussels,Brussels,APARTMENT,325000.0,1.0,79.0,2.5,0.0,0,1.0,29.0,,,,2.0,0.0,3.0,4113.9240506329115
10150773,6150,Wallonia,Hainaut,HOUSE,180000.0,3.0,118.0,,,0,,,,,665.0,4.0,,,1525.4237288135594
10073317,8710,Flanders,West Flanders,HOUSE,369000.0,3.0,130.0,1.0,0.0,0,1.0,,1.0,,304.0,3.0,0.0,2.0,2838.4615384615386
9853979,2018,Flanders,Antwerp,HOUSE,325000.0,3.0,172.0,,0.0,0,,,,,74.0,2.0,,2.0,1889.5348837209303
10089651,3080,Flanders,Flemish Brabant,HOUSE,2950000.0,5.0,340.0,1.0,,1,1.0,35.0,1.0,4400.0,4400.0,4.0,0.0,1.5,8676.470588235294
9857172,8860,Flanders,West Flanders,HOUSE,495000.0,3.0,325.0,1.0,0.0,0,,,1.0,1300.0,1598.0,4.0,0.0,2.0,1523.076923076923
9994885,9060,Flanders,East Flanders,APARTMENT,289820.0,2.0,82.0,1.0,0.0,0,,,1.0,9.0,,2.0,0.0,2.0,3534.390243902439
10058024,8370,Flanders,West Flanders,APARTMENT,119000.0,0.0,38.0,,1.0,0,1.0,,,,,2.0,0.0,2.0,3131.5789473684213
10145252,6600,Wallonia,Luxembourg,HOUSE,284000.0,2.0,140.0,1.0,0.0,0,1.0,57.0,1.0,1114.0,1250.0,3.0,0.0,1.0,2028.5714285714287
9847550,4837,Wallonia,Liège,HOUSE,299000.0,3.0,169.0,,0.0,0,1.0,22.0,1.0,130.0,0.0,2.0,,,1769.2307692307693
9972301,1030,Brussels,Brussels,APARTMENT,210000.0,2.0,80.0,1.0,0.0,0,1.0,5.0,,,,4.0,,,2625.0
10142206,1050,Brussels,Brussels,APARTMENT,215000.0,1.0,66.0,1.0,0.0,0,,,,,,2.0,0.0,2.0,3257.5757575757575
10126218,1420,Wallonia,Walloon Brabant,APARTMENT,259500.0,1.0,69.0,2.5,0.0,0,1.0,7.0,,,,4.0,0.0,,3760.8695652173915
9713450,8790,Flanders,West Flanders,APARTMENT,260000.0,2.0,85.0,,0.0,0,1.0,7.0,,,,2.0,0.0,,3058.823529411765
10140939,2930,Flanders,Antwerp,APARTMENT,369000.0,2.0,116.0,1.0,0.0,0,1.0,10.0,,,,2.0,0.0,2.0,3181.0344827586205
10119871,3580,Flanders,Limburg,HOUSE,365000.0,4.0,250.0,,,0,1.0,,,,1372.0,4.0,,,1460.0
10114099,6000,Wallonia,Hainaut,HOUSE,385000.0,4.0,250.0,1.0,0.0,0,1.0,,,,270.0,,0.0,,1540.0
10045770,3511,Flanders,Limburg,APARTMENT,219000.0,2.0,86.0,1.0,,0,,,,,,,0.0,2.0,2546.5116279069766
10100132,2440,Flanders,Antwerp,APARTMENT,339000.0,3.0,130.0,1.0,0.0,0,1.0,49.0,1.0,,,4.0,,,2607.6923076923076
9915067,4608,Wallonia,Liège,HOUSE,999000.0,10.0,580.0,1.0,0.0,1,1.0,50.0,1.0,6000.0,10000.0,8.0,0.0,2.0,1722.4137931034484
10087144,9961,Flanders,East Flanders,HOUSE,355000.0,4.0,130.0,,0.0,0,,,1.0,16.0,169.0,,0.0,2.0,2730.769230769231
10074415,8970,Flanders,West Flanders,HOUSE,229000.0,3.0,162.0,1.0,0.0,0,1.0,,,,642.0,4.0,0.0,2.0,1413.5802469135801
10124829,6900,Wallonia,Luxembourg,HOUSE,185000.0,4.0,144.0,,0.0,0,,,,,136.0,2.0,0.0,1.5,1284.7222222222222
10145580,8300,Flanders,West Flanders,APARTMENT,795000.0,3.0,101.0,2.5,0.0,0,1.0,6.0,,,,2.0,0.0,3.0,7871.287128712871
10089514,4800,Wallonia,Liège,HOUSE,218000.0,3.0,198.0,1.0,0.0,0,1.0,66.0,,,159.0,2.0,,2.0,1101.010101010101
9889636,9000,Flanders,East Flanders,APARTMENT,665000.0,2.0,135.0,,0.0,0,1.0,42.0,,,,2.0,0.0,,4925.925925925926
10132849,7033,Wallonia,Hainaut,HOUSE,140000.0,3.0,90.0,0.0,0.0,0,,,,,895.0,3.0,,1.0,1555.5555555555557
9884750,9100,Flanders,East Flanders,HOUSE,200000.0,3.0,148.0,,,0,,,,,194.0,,0.0,1.5,1351.3513513513512
9569187,9200,Flanders,East Flanders,APARTMENT,329000.0,2.0,126.0,,,0,1.0,,,,,,0.0,3.0,2611.1111111111113
10118477,4540,Wallonia,Liège,HOUSE,120000.0,2.0,85.0,1.0,0.0,0,1.0,32.0,,,112.0,3.0,,1.5,1411.764705882353
9931557,1050,Brussels,Brussels,APARTMENT,1295000.0,2.0,221.0,2.5,0.0,0,1.0,5.0,,,,2.0,0.0,3.0,5859.72850678733
10116411,3201,Flanders,Flemish Brabant,HOUSE,317623.0,2.0,91.0,,,0,,,,,1317.0,3.0,,,3490.3626373626375
9641338,9470,Flanders,East Flanders,APARTMENT,255000.0,2.0,103.0,2.5,0.0,0,1.0,27.0,1.0,34.0,,3.0,0.0,3.0,2475.7281553398057
10117971,2170,Flanders,Antwerp,HOUSE,349900.0,5.0,220.0,1.0,0.0,0,1.0,28.0,,,0.0,2.0,,2.0,1590.4545454545455
10093732,1050,Brussels,Brussels,HOUSE,525000.0,6.0,274.0,,0.0,0,1.0,22.0,,,105.0,2.0,,2.0,1916.058394160584
10037082,7330,Wallonia,Hainaut,HOUSE,139000.0,3.0,90.0,1.0,0.0,0,,,,,330.0,3.0,,,1544.4444444444443
10058520,2620,Flanders,Antwerp,APARTMENT,292800.0,3.0,122.0,1.0,0.0,0,1.0,14.0,,,,3.0,,,2400.0
9255033,3620,Flanders,Limburg,APARTMENT,240000.0,2.0,108.0,,,0,1.0,,1.0,,,,0.0,,2222.222222222222
9985702,6043,Wallonia,Hainaut,HOUSE,215000.0,1.0,250.0,1.0,,0,1.0,50.0,,,500.0,4.0,,3.0,860.0
10071231,8400,Flanders,West Flanders,APARTMENT,418750.0,2.0,122.0,,,0,1.0,,1.0,,,,0.0,,3432.377049180328
10132932,1000,Brussels,Brussels,APARTMENT,1250000.0,2.0,217.0,2.0,0.0,1,1.0,15.0,1.0,124.0,,2.0,,3.0,5760.3686635944705
10118858,9190,Flanders,East Flanders,HOUSE,335000.0,2.0,150.0,1.0,0.0,0,1.0,40.0,1.0,,388.0,3.0,,2.0,2233.3333333333335
9245107,8550,Flanders,West Flanders,APARTMENT,245000.0,1.0,55.0,,1.0,0,1.0,,,,,,,,4454.545454545455
